Anno ,Popolazione
1972,3851650588
1973,3927780519
1974,4003794178
1975,4079480474
1976,4154666827
1977,4229505919
1978,4304533599
1979,4380506185
1980,4458003465
1981,4536996619
1982,4617386526
1983,4699569187
1984,4784011517
1985,4870921666
1986,4960568000
1987,5052521998
1988,5145425994
1989,5237441434
1990,5327231041
1991,5414289383
1992,5498919892
1993,5581597598
1994,5663150427
1995,5744212929
1996,5824891930
1997,5905045646
1998,5984794074
1999,6064239033
2000,6143493805
2001,6222626530
2002,6301773172
2003,6381185141
2004,6461159390
2005,6541906956
2006,6623517916
2007,6705946642
2008,6789088671
2009,6872766988
2010,6956823588
2011,7041194168
2012,7125827956
2013,7210582041
2014,7295290759
2015,7379796966
2016,7464021934
2017,7547858900
2018,7631091112
2019,7713468205
2020,7794798729
2021,7874965731
Anno ,Popolazione
