Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
Lets Fight Ghost,7.9,82.0,74.0,57.0,205926.0
Joker,8.4,59.0,112.0,228.0,951938.0
I,6.5,51.0,26.0,69.0,733336.0
Harrys Daughters,8.1,85.0,46.0,94.0,766594.0
The Closet,7.0,72.0,1.0,1.0,16657.0
Dilili in Paris,7.0,37.0,1.0,2.0,816.0
Alice,6.6,67.0,1.0,7.0,13379.0
Ordinary People,7.7,86.0,19.0,14.0,47265.0
Paths of the Soul,7.5,90.0,5.0,7.0,738.0
The Return,8.0,82.0,34.0,19.0,42530.0
Stand by Me,8.1,75.0,5.0,11.0,364302.0
Wonderstruck,6.2,71.0,1.0,33.0,9533.0
The Girl on the Train,6.5,48.0,4.0,12.0,169614.0
Ride Your Wave,6.8,63.0,2.0,3.0,1601.0
A Call to Spy,6.3,65.0,3.0,2.0,1684.0
Red,7.0,60.0,4.0,19.0,290548.0
The Mole Agent,7.6,69.0,4.0,17.0,839.0
Burden,6.6,57.0,2.0,1.0,1814.0
Collective,8.4,95.0,25.0,42.0,3300.0
Love,6.1,51.0,2.0,1.0,48843.0
Amanda,7.0,63.0,4.0,7.0,2012.0
Corpus Christi,7.7,77.0,54.0,33.0,13208.0
John Lewis: Good Trouble,7.1,70.0,3.0,8.0,539.0
Repo Man,6.9,82.0,2.0,3.0,33965.0
Monsoon,5.9,69.0,1.0,2.0,1083.0
Weathering with You,7.5,72.0,6.0,16.0,23305.0
Monster Hunt 2,5.4,63.0,1.0,9.0,1399.0
Lassie Come Home,7.1,78.0,3.0,2.0,4973.0
News of the World,6.9,73.0,2.0,46.0,30581.0
Mr. & Mrs. Incredible,6.5,55.0,9.0,18.0,451482.0
Step,6.8,81.0,9.0,20.0,844.0
Breaking News,6.7,63.0,5.0,11.0,5087.0
The Great Race,7.3,71.0,3.0,14.0,16184.0
Ill Always Know What You Did Last Summer,6.5,51.0,26.0,69.0,733336.0
The House That Jack Built,6.8,42.0,11.0,20.0,59945.0
Trolls World Tour,6.1,51.0,1.0,8.0,16977.0
Sonic the Hedgehog,6.5,47.0,2.0,6.0,89305.0
Penguin Bloom,6.8,54.0,1.0,1.0,4163.0
Touch Me Not,5.9,65.0,4.0,19.0,2311.0
The Hunt,8.3,77.0,37.0,70.0,282998.0
